health_id,register_name,health_group,source_route,file_exists,row_count,column_count,health_status,risk_note,recommended_action,last_checked,health_hash
ST-PHEALTH-CB16A9AFCC37,sterile_compounding_register.csv,01 Core,/sterile-compounding,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,82d2b21028b1371aa879ddc2a844adb4339dec807b4783654e33d141d310ad3c
ST-PHEALTH-D5CCDEC3256E,sterile_compounding_review_register.csv,01 Core,/sterile-compounding/review,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,d25c58de9f9526b915296d5739c4aa8ef589e61d28450b5781e7d92f3685dba4
ST-PHEALTH-90CAD5574E4B,sterile_compounding_lineage_register.csv,01 Core,/sterile-compounding/audit-lineage,YES,2,8,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,4e6a81e30f257d4727be23a39bb96b5d813f22290eaa52ab46143a0391857b41
ST-PHEALTH-56F3BF3DB214,sterile_compounding_evidence_vault_register.csv,02 Evidence,/sterile-compounding/evidence-vault,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,48636062ce4ac314ca7f7a4364b8fb792a4ad240eb0ed91ce6c6e26f3e119af3
ST-PHEALTH-B67348E8983F,sterile_compounding_evidence_matrix_register.csv,02 Evidence,/sterile-compounding/evidence-matrix,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,399f280cef2eebf997ef92bdc24f402c7c48dd3132ea52a00b760860425fc9ea
ST-PHEALTH-496BBBEDDB13,sterile_compounding_audit_pack_register.csv,03 Audit,/sterile-compounding/audit-pack,YES,0,39,YELLOW,Register exists but is header-only or empty.,Open the supporting route to generate rows or confirm empty state is expected.,2026-05-13 01:11:40 UTC,3197a8787260d9a6cea16a62f8b12826be85f17f083ae625bf38e9015c20964f
ST-PHEALTH-01043290BD40,sterile_compounding_release_dossier_register.csv,03 Audit,/sterile-compounding/release-dossier,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,5fa6875b2cdd6e6cf4875410bbdfcf6fb4b6a344477da1aacdeace719d1e7b6e
ST-PHEALTH-F717CEFF3CF7,sterile_compounding_signoff_register.csv,03 Audit,/sterile-compounding/signoff-board,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,b351d5363dcd4fa32ce7a20d8c0a6e06d4b49d739cb08b7f8f3e7bea2e1be9c1
ST-PHEALTH-2F51475D138A,sterile_compounding_seal_register.csv,04 Seal,/sterile-compounding/seal-ledger,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,1100eea93893041af931432e50c61170d97ebb63a8b264601ef3b81f4d4435e7
ST-PHEALTH-9C6EA1BDF7A3,sterile_compounding_seal_verification_register.csv,04 Seal,/sterile-compounding/seal-verify,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,8daaf9ba7bee3083a003ce0cfd8e94bc88ccb2046e4068b39e69a4a842cf61b1
ST-PHEALTH-75BF5A94349A,sterile_compounding_seal_health_register.csv,04 Seal,/sterile-compounding/seal-health,YES,0,17,YELLOW,Register exists but is header-only or empty.,Open the supporting route to generate rows or confirm empty state is expected.,2026-05-13 01:11:40 UTC,8b59260f36367eeb80351030ab3c303791d999bfd1d9f7ab46e9090b572b495d
ST-PHEALTH-FE3D1CCD4FD2,sterile_compounding_custody_chain_register.csv,05 Custody,/sterile-compounding/custody-chain,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,0b31da9680a5e0c4003c02e5ebce1ed56276ec794d2b903e29d6ebdbe6b6615c
ST-PHEALTH-D0E9346817A8,sterile_compounding_custody_health_register.csv,05 Custody,/sterile-compounding/custody-health,YES,0,20,YELLOW,Register exists but is header-only or empty.,Open the supporting route to generate rows or confirm empty state is expected.,2026-05-13 01:11:40 UTC,321adfb30cc8d3fde3377357e162d00c31646843760a81d8cf8c7656691a8703
ST-PHEALTH-D5BE126E5746,sterile_compounding_custody_audit_link_register.csv,05 Custody,/sterile-compounding/custody-audit-link,YES,0,24,YELLOW,Register exists but is header-only or empty.,Open the supporting route to generate rows or confirm empty state is expected.,2026-05-13 01:11:40 UTC,eef1ac683dc94dfb5ec1b12092b96ca87ae4efefa9a7687709affe170e62bb7d
ST-PHEALTH-9BDF4A400E9A,sterile_compounding_sop_formula_register.csv,06 Drift,/sterile-compounding/sop-formula-governance,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,7892abb876741b621066de008f8777150282bad624c2dfffcd5c35ef5155610e
ST-PHEALTH-40A220F1F1F8,sterile_compounding_sop_drift_register.csv,06 Drift,/sterile-compounding/sop-drift,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,a470d01e0e59547d20265a1a4944e29c80010e592cf0b711e24f1a10c5b0b5f8
ST-PHEALTH-9603D4C39E4E,sterile_compounding_personnel_competency_register.csv,06 Drift,/sterile-compounding/personnel-competency,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,ddecd8794a1d4cd22072b05f4a4429da05914e2bd3dae18c7cb99145babbc2af
ST-PHEALTH-045B5269D354,sterile_compounding_personnel_drift_register.csv,06 Drift,/sterile-compounding/personnel-drift,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,9fdee4c9a8d9538602a22ec12f3719e888ccdd50f164aaeb29a1cc281172996e
ST-PHEALTH-AB3AA5300ACB,sterile_compounding_equipment_room_register.csv,06 Drift,/sterile-compounding/equipment-room-governance,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,e628ced124d5cda5429afa9400bc89a22a223ff3226a636b868acddefcc6e35c
ST-PHEALTH-8E57DD76219B,sterile_compounding_equipment_room_drift_register.csv,06 Drift,/sterile-compounding/equipment-room-drift,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,447c8b2906f483721f1956dfe23716d2adcc5da148f754f5b9156f26c01f85ed
ST-PHEALTH-864E30CE7094,sterile_compounding_master_assurance_register.csv,07 Assurance,/sterile-compounding/master-assurance-index,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,9625c2e78aeb4e560f77cdc351721ad8a1a08234a198b6b3093febfa50bd47e1
ST-PHEALTH-371F33B34988,sterile_compounding_no_release_composite_register.csv,07 Assurance,/sterile-compounding/no-release-composite,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,82d9209520fba9877670c49f16b50af6110390cdd7baa504e2c96143b4b1e59d
ST-PHEALTH-BDEC0027758B,sterile_compounding_closure_simulator_register.csv,07 Assurance,/sterile-compounding/closure-simulator,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,20facae0db35a622d91a532d9b18d4f6e4b2e43188d6ea5f5a3e269df4dbff31
ST-PHEALTH-EA3259AC8A66,sterile_compounding_recovery_plan_register.csv,07 Assurance,/sterile-compounding/recovery-plan,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,804cbf8acd765a8912b6f528818d8c4f0e4a4654e96d40e6c26d47fc58fd1880
ST-PHEALTH-25D36211B4E7,sterile_compounding_inspection_readiness_register.csv,08 Inspection,/sterile-compounding/inspection-readiness,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,2f7fbdfb9d24f7ab58aadee9cce449c2eefbcedf308855fdd52d1fd7af74cce5
ST-PHEALTH-5FB92FAB2D94,sterile_compounding_auditor_qa_register.csv,08 Inspection,/sterile-compounding/auditor-qa-pack,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,422f0aadb58713965ea8cdef132c1b52e535d27bb8250dbeec888525d693fea0
ST-PHEALTH-AF8A1337F21D,sterile_compounding_regulatory_crosswalk_register.csv,08 Inspection,/sterile-compounding/regulatory-crosswalk,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,3135e0579d83331bda08efb105dd6d2d3cd4493c0e12dc85ba2cd86d9b4d17fe
ST-PHEALTH-8F4E8E996D90,sterile_compounding_control_evidence_coverage_register.csv,08 Inspection,/sterile-compounding/control-evidence-coverage,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,22d6fd3655ab11043f887e68a0c8a3fd7183362589161af62bffb6d9ef225fe7
ST-PHEALTH-17FEB3A0943C,sterile_compounding_inspection_narrative_register.csv,08 Inspection,/sterile-compounding/inspection-narrative,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,a83d106a7f3ef2885606fe25c659941b8585d62822c6c2844d9603957c44fce1
ST-PHEALTH-75508C824180,sterile_compounding_executive_brief_register.csv,08 Inspection,/sterile-compounding/executive-brief,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,fd10eae73f24d662781375cedd1b556a6d17ddcee4c304d6649b918afb833a7f
ST-PHEALTH-14C96F817D63,sterile_compounding_inspection_binder_register.csv,08 Inspection,/sterile-compounding/inspection-binder,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,72e3a370c086edb014e9be57f30de27c2c55b47c273d865ac2b48908694e477f
ST-PHEALTH-F6E8B862971A,sterile_compounding_packet_manifest_register.csv,08 Inspection,/sterile-compounding/packet-manifest,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,5b4260eaf5f7324e85a0107c976cdd10eb9c58e892d1a6a8b0bf65f57c335a07
ST-PHEALTH-736A6D3B52D7,sterile_compounding_navigation_register.csv,09 Navigation,/sterile-compounding/navigation-hub,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,4cb6c70cc84b0f9f9330bcd30c80fe1c8157748eb42a1138723f0c9142b56469
ST-PHEALTH-950E467830F9,sterile_compounding_route_health_register.csv,09 Navigation,/sterile-compounding/route-health,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,b4787c7e5bd5c984de98d19ee383cbfbdfa606587d0c16c2d9cb94016befcf48
ST-PHEALTH-730F33F26985,sterile_compounding_demo_walkthrough_register.csv,10 Demo,/sterile-compounding/demo-walkthrough,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,6f41755c8757d0dce76a1c32d25a59d6e10e0b4a40416974e4307adf523a90e1
ST-PHEALTH-1777D7CD0867,sterile_compounding_demo_script_register.csv,10 Demo,/sterile-compounding/demo-script,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,3bca9da0b85a0e5d9308a54fa2acc4da680974f07942624289b5884ccdcfda63
ST-PHEALTH-945A3A6803FD,sterile_compounding_register_catalog.csv,11 Data Dictionary,/sterile-compounding/register-catalog,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,058ef97c63bc83c3229806d5bf9e59f3f77b4411b40c923b84870f9624e52418
ST-PHEALTH-C0FE4320D868,sterile_compounding_data_dictionary.csv,11 Data Dictionary,/sterile-compounding/data-dictionary,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,f944c4180e8a755058b185ba5a9ce696897f0b84be106f9406d76d08aaaa3eb4
ST-PHEALTH-3D221094787B,sterile_compounding_build_acceptance_register.csv,12 Build Health,/sterile-compounding/build-acceptance,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,b9aabaa0f40a27c086ce7cc5e06d7d416337a44749a7612437f99564308a7182
ST-PHEALTH-E12050744629,sterile_compounding_smoke_test_matrix.csv,12 Build Health,/sterile-compounding/smoke-test-matrix,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,0ea3a7b73a1c4da531441499fbf4f803e36e9ca45f0e1845c6dc300c1eed94b6
ST-PHEALTH-F772A6477F13,sterile_compounding_go_live_readiness_register.csv,12 Build Health,/sterile-compounding/go-live-readiness,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,4f39296d990ae921b1d47df9f34313756b8f5a43e678382038a21cb45ff6a820
ST-PHEALTH-1983AE8FCF1D,sterile_compounding_change_control_pack.csv,12 Build Health,/sterile-compounding/change-control-pack,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,8b12858f3fbf5f24835cf52732e745a69152e90c65166a67c930ee6374ef677e
ST-PHEALTH-1BA238FCF985,sterile_compounding_freeze_snapshot_register.csv,12 Build Health,/sterile-compounding/freeze-snapshot,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,14bea75ac1918b59c287f7baf920aa84f70fd6e28746e2088504b3e503a6b26a
ST-PHEALTH-22A1FB93B532,sterile_compounding_presentation_lock_register.csv,12 Build Health,/sterile-compounding/presentation-lock,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,a0b45a64ebfc3fd5b72f2384b7e0cf309a54329ec938ef8f6d662e9c056155fa
ST-PHEALTH-3FB9B285FBD9,sterile_compounding_maturity_model_register.csv,13 Roadmap,/sterile-compounding/maturity-model,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,d2d79f5e23d1ffa1a250e15b50559002e341eb2c3c1ae18857ba11d51efc55c2
ST-PHEALTH-853F89257972,sterile_compounding_roadmap_register.csv,13 Roadmap,/sterile-compounding/roadmap,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,f69da459841b0cea2d65ed24a8a531ab1deda7cc4c1638a34a30f0bcb9174ee6
ST-PHEALTH-995164755F3D,sterile_compounding_integration_blueprint_register.csv,14 Integration Blueprint,/sterile-compounding/integration-blueprint,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,f86b11787d166aa338286267b532830d9a50020a6dcfa5aabbf684329512cb90
ST-PHEALTH-322B1CD29488,sterile_compounding_system_connector_readiness.csv,14 Integration Blueprint,/sterile-compounding/system-connector-readiness,NO,0,0,RED,Expected register file does not exist yet.,Open the supporting route or export page to generate the register.,2026-05-13 01:11:40 UTC,9ae241e6a93018603970f9782ba47a11a893a8a54672e70bcba87961866f53bb
ST-PHEALTH-BD6DF11F0560,sterile_compounding_data_contract_register.csv,14 Integration Blueprint,/sterile-compounding/data-contracts,YES,8,19,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,2c005b58a01b1629d136549a917aa0e1715cefd010453d8d70b61533002b0585
ST-PHEALTH-54C88AF6CA9A,sterile_compounding_field_mapping_matrix.csv,14 Integration Blueprint,/sterile-compounding/field-mapping-matrix,YES,24,16,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,001701ef149a818f3b8b6ef297ceafb0997c48e5c98280b29d84f33d66adb9eb
ST-PHEALTH-8C9858C2E399,sterile_compounding_mock_ingestion_lab.csv,14 Integration Blueprint,/sterile-compounding/mock-ingestion-lab,YES,8,19,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,5e2c3d7ed3d1d1e02d13ff6a846772b07a4ab173ebc803f182c649b6925b8823
ST-PHEALTH-45D3146D5C51,sterile_compounding_pre_integration_risk_register.csv,14 Integration Blueprint,/sterile-compounding/pre-integration-risk,YES,48,15,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,b167c7ecc67649fd0d96b98e0bf7043bfadd50f4c044b9d4c5aa29220d5188da
ST-PHEALTH-4D4B9F9B5AA5,sterile_compounding_connector_approval_board.csv,14 Integration Blueprint,/sterile-compounding/connector-approval-board,YES,56,15,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,39693832d297621cce0cc46793094343b7edf35eefb405b52199a3bec6efa4dd
ST-PHEALTH-5ED605F362C7,sterile_compounding_implementation_decision_matrix.csv,14 Integration Blueprint,/sterile-compounding/implementation-decision-matrix,YES,8,19,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,bdd6ab9c9b9b9ee5f960ad5cc145bbc143472c2249a111fc836250a1ab984b10
ST-PHEALTH-554486592A11,sterile_compounding_nonprod_poc_plan.csv,14 Integration Blueprint,/sterile-compounding/nonprod-poc-plan,YES,8,20,GREEN,Register exists and contains data rows.,No action required.,2026-05-13 01:11:40 UTC,a39071e674f047dd48e86701a6dbb3cfaafc8defa60eeee40bb35d69ee770117
